SCIENTIFIC_NAME,mean_SSI
Eriophorum viridicarinatum,1.251312165
Trifolium repens,0.541951931
Salix pyrifolia,0.719382652
Rhododendron groenlandicum,0.819425061
Lonicera involucrata,0.526169825
Populus tremuloides,0.235361895
Phleum pratense,0.48755568
Phalaris arundinacea,0.530328321
Deschampsia cespitosa,0.465205732
Rubus pubescens,0.436946207
Cornus canadensis,0.547276613
Lonicera dioica,0.505342691
Spiraea lucida,0.824581686
Linnaea borealis,0.567175584
Gymnocarpium dryopteris,0.812066748
Arctostaphylos uva-ursi,0.73943007
Diphasiastrum complanatum,1.505305571
Trifolium pratense,0.569898962
Equisetum sylvaticum,0.547235694
Picea mariana,0.869315792
Abies balsamea,0.679309206
Coptis trifolia,1.651028938
Carex brunnescens,0.758473261
Chamerion angustifolium,0.385462229
Lotus corniculatus,0.940249517
Hieracium umbellatum,0.380512685
Hieracium albiflorum,2.116431198
Vaccinium vitis-idaea,0.859512516
Symphyotrichum ciliolatum,0.364517304
Alnus viridis,0.602313524
Mertensia paniculata,0.397717101
Viola canadensis,0.474066405
Pinus contorta,0.429601618
Rosa acicularis,0.206214553
Castilleja miniata,0.840511801
Pyrola asarifolia,0.556401686
Equisetum arvense,0.222732054
Trientalis borealis,0.737557393
Salix scouleriana,0.825604757
Aralia nudicaulis,0.366100254
Maianthemum trifolium,0.943038792
Geum rivale,0.560998119
Galearis rotundifolia,0.957628466
Geum macrophyllum,0.446135812
Platanthera huronensis,0.556756038
Rubus idaeus,0.343247609
Rhinanthus minor,0.630140847
Corallorhiza trifida,1.452439798
Urtica dioica,0.387545664
Plantago major,0.569832676
Moneses uniflora,0.924215289
Lycopodium annotinum,0.712036761
Veronica americana,0.985106649
Luzula parviflora,0.747407889
Poa pratensis,0.373640423
Ranunculus acris,0.691170165
Rubus arcticus,0.80443282
Carex aurea,0.547783234
Ribes lacustre,0.53957239
Glyceria striata,0.518983196
Parnassia palustris,0.658955104
Spiranthes romanzoffiana,1.043033317
Vicia americana,0.25824456
Ribes oxyacanthoides,0.412342717
Ribes triste,0.49387802
Cornus sericea,0.3908585
Calamagrostis canadensis,0.418665633
Prosartes trachycarpa,0.576315409
Lathyrus ochroleucus,0.355632674
Achillea alpina,0.426424654
Juncus nodosus,0.602757726
Ribes hudsonianum,0.718360817
Caltha palustris,0.886376634
Cerastium arvense,0.713779015
Fragaria virginiana,0.262291679
Salix petiolaris,0.454462934
Scirpus microcarpus,0.565910562
Shepherdia canadensis,0.500678474
Mitella nuda,0.615148005
Listera cordata,0.94342143
Larix laricina,0.904963038
Goodyera repens,1.852298582
Bromus inermis,0.690119775
Galium boreale,0.254605606
Equisetum scirpoides,0.89279295
Alnus incana,0.754969626
Galium triflorum,0.467891002
Viburnum edule,0.438605867
Populus balsamifera,0.287148112
Equisetum pratense,0.597431126
Carex aquatilis,0.588929332
Taraxacum officinale,0.446988296
Carex disperma,0.811160076
Petasites frigidus,0.451143961
Carex microptera,0.845556824
Juncus bufonius,0.497724772
Alopecurus aequalis,0.485152103
Betula papyrifera,0.574363874
Achillea millefolium,0.204939724
Maianthemum canadense,0.390620144
Actaea rubra,0.374782993
Gaultheria hispidula,0.993640472
Osmorhiza depauperata,0.70992061
Senecio vulgaris,0.942906109
Picea glauca,0.439000824
Vaccinium myrtilloides,0.782628317
Halenia deflexa,0.880104655
Fallopia convolvulus,1.221916532
Eurybia conspicua,0.363634543
Potentilla norvegica,0.275555454
Pascopyrum smithii,0.465526918
Galeopsis tetrahit,0.555650307
Erigeron philadelphicus,0.973117673
Cirsium flodmanii,0.780658104
Brassica rapa,1.45932506
Medicago sativa,0.812630473
Melilotus officinalis,0.561282758
Artemisia absinthium,1.027040614
Symphoricarpos occidentalis,0.417163369
Silene latifolia,0.956397297
Mulgedium pulchellum,0.536626731
Symphyotrichum lanceolatum,0.533353772
Astragalus bisulcatus,1.889290513
Avena fatua,1.458510824
Cirsium arvense,0.510110116
Chenopodium album,0.754472481
Elymus repens,0.708430273
Artemisia ludoviciana,0.429091877
Carex foenea,0.452553245
Artemisia biennis,0.769773356
Hedysarum alpinum,0.627073933
Polygonum aviculare,0.633814443
Stachys palustris,0.491967521
Prunus virginiana,0.738042503
Rosa woodsii,0.378565218
Lepidium densiflorum,0.709160448
Thlaspi arvense,0.914820466
Amelanchier alnifolia,0.364934435
Maianthemum stellatum,0.421727872
Salix bebbiana,0.293890873
Sonchus arvensis,0.502830584
Thalictrum venulosum,0.436276839
Sisymbrium loeselii,1.148670729
Symphyotrichum laeve,0.614535647
Brassica napus,1.460573831
Prunus pensylvanica,0.728318632
Neslia paniculata,1.344145397
Setaria viridis,1.578961261
Erysimum cheiranthoides,0.665524285
Axyris amaranthoides,0.949890731
Erucastrum gallicum,0.865101403
Capsella bursa-pastoris,1.12262533
Salix planifolia,0.495282161
Polygonum erectum,0.891454323
Thermopsis rhombifolia,0.545081645
Androsace septentrionalis,0.523798634
Crepis tectorum,0.653544944
Pisum sativum,1.611997258
Elymus albicans,1.063193121
Potentilla anserina,0.521241067
Anemone multifida,0.581870508
Fragaria vesca,0.418497308
Corydalis aurea,1.450451123
Oxytropis campestris,0.864699182
Antennaria neglecta,0.820075897
Mentha arvensis,0.40564392
Hordeum jubatum,0.518203433
Zizia aptera,0.819290389
Cirsium vulgare,0.678809812
Lycopus asper,0.641876569
Carex atherodes,0.383377116
Agrostis scabra,0.262427124
Trifolium hybridum,0.583446715
Rumex occidentalis,0.394905679
Erigeron lonchophyllus,1.292927933
Lappula squarrosa,0.572521557
Antennaria parvifolia,0.639904871
Medicago lupulina,0.572934767
Arabis pycnocarpa,1.50608254
Symphyotrichum falcatum,0.43634343
Linaria vulgaris,0.785674201
Carum carvi,0.946297618
Juncus arcticus,0.394970899
Ribes americanum,0.671755342
Descurainia sophia,1.016603585
Penstemon procerus,0.966076116
Lysimachia maritima,0.502018942
Ranunculus cymbalaria,0.484483338
Symphyotrichum boreale,0.527291291
Rumex fueginus,0.727043458
Betula occidentalis,1.021761425
Symphyotrichum ericoides,0.959539716
Ranunculus sceleratus,0.552843866
Tanacetum vulgare,0.793971926
Erigeron pumilus,1.372723028
Calamagrostis stricta,0.386889466
Geum aleppicum,0.457506496
Salix discolor,0.403649064
Anemone cylindrica,0.965565834
Poa palustris,0.341776762
Puccinellia nuttalliana,0.66294505
Schoenoplectus acutus,0.582966757
Solidago altissima,0.360672385
Symphoricarpos albus,0.451163932
Bromus ciliatus,0.78905345
Elymus trachycaulus,0.282211989
Leymus innovatus,0.395035893
Allium cernuum,1.410173676
Agrimonia striata,0.878304706
Moehringia lateriflora,0.60159937
Viburnum opulus,1.068751487
Apocynum androsaemifolium,0.933721706
Sanicula marilandica,0.964991534
Anthoxanthum hirtum,0.937990474
Lysimachia ciliata,1.645701472
Corylus cornuta,0.85241505
Viola renifolia,0.554994723
Hackelia deflexa,0.984017549
